time,open,high,low,close,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
-520830000,34.91,34.91,34.76,34.85,31.826898019915753,58.13582733731123,59.641319073262984,NaN,NaN,NaN,NaN,NaN,NaN,23.069407707553612
-504928800,34.86,35.08,34.86,35.07,31.954078489722978,61.2062101209784,57.95969661617589,NaN,NaN,NaN,NaN,61.2062101209784,NaN,22.24543703717915
-489294000,35.08,35.08,35.04,35.04,32.07509501953776,60.52522516246807,56.22943237633806,NaN,NaN,NaN,NaN,NaN,NaN,21.586260500879582
-473220000,35.04,35.06,35.04,35.04,32.191365803085304,60.52522516246807,54.49916813650024,NaN,NaN,NaN,NaN,NaN,NaN,21.058919271839923
-457758000,35.05,35.05,34.97,34.97,32.300331850023134,58.59982853849152,52.63137556637837,NaN,NaN,NaN,NaN,NaN,NaN,18.362532566762336
-441770400,34.99,34.99,34.98,34.98,32.40541687551242,58.810412705483344,55.460013884023354,NaN,NaN,NaN,NaN,NaN,NaN,16.205423202700267
-426049200,35,35.02,34.9,34.9,32.503243664708016,56.23598675345407,58.10476463366626,NaN,NaN,56.23598675345407,NaN,NaN,NaN,14.586563606931954
-410234400,34.88,34.99,34.88,34.99,32.60076352099398,58.5333525298894,58.18963328959232,NaN,NaN,NaN,NaN,NaN,NaN,14.092490005469676
-394599600,34.99,34.99,34.96,34.99,32.694459069190295,58.5333525298894,58.28211992226386,NaN,NaN,NaN,NaN,NaN,NaN,13.697231124299853
-378698400,35.01,35.11,35.01,35.1,32.78879400765342,61.647650756247636,58.59067908248926,NaN,NaN,NaN,NaN,NaN,NaN,15.039186579640887
-363063600,35.11,35.11,35.09,35.09,32.87903737990231,61.177740907929405,58.93191330449212,NaN,NaN,NaN,NaN,NaN,NaN,16.11275094391371
-347162400,35.07,35.12,35.06,35.12,32.96691826696496,62.15143210632588,59.47440131560993,NaN,NaN,NaN,NaN,NaN,NaN,14.520570607773669
-331527600,35.13,35.13,35.05,35.05,33.04860774669182,58.31232601590476,59.52026191299494,NaN,NaN,NaN,NaN,NaN,NaN,13.246826338861636
-315626400,35.09,35.11,35.09,35.09,33.12866234486077,59.90449491351695,59.59279039573988,NaN,NaN,NaN,NaN,NaN,NaN,12.22783092373201
-299905200,35.1,35.82,35.1,35.54,33.223224605846625,72.97012897496458,60.65238336985798,NaN,NaN,NaN,NaN,72.97012897496458,NaN,26.562192360496223
-283917600,35.56,35.56,35.06,35.07,33.29564717032323,52.766447106474644,60.04954315453629,NaN,NaN,NaN,NaN,NaN,NaN,36.01082984885147
-268196400,35.11,35.19,35.11,35.15,33.36836688913408,55.14462610797585,59.66521465064398,NaN,NaN,NaN,NaN,NaN,NaN,43.56973983953568
-252468000,35.16,35.16,35.08,35.1,33.436274069952354,53.25915141307779,59.146209382830385,NaN,NaN,NaN,NaN,NaN,NaN,47.51602251932664
-236746800,35.12,35.14,35.08,35.08,33.500733910346376,52.45211518337646,58.707087000322176,NaN,NaN,NaN,NaN,NaN,NaN,50.673048663159406
-220932000,35.06,35.1,35.06,35.08,33.562665913862205,52.45211518337646,58.25292289160024,NaN,NaN,NaN,NaN,NaN,NaN,51.26432412987487
-205297200,35.09,35.1,35.08,35.08,33.62216921135781,52.45211518337646,57.982646350880415,NaN,NaN,NaN,NaN,NaN,NaN,51.73734450324725
-189396000,35.08,35.08,35.08,35.08,33.67933904620652,52.45211518337646,57.54827225470092,NaN,NaN,52.45211518337646,NaN,NaN,NaN,52.11576080194516
-173674800,35.08,35.12,35.08,35.12,33.735835554198424,54.65343561044012,57.27113533188311,NaN,NaN,NaN,NaN,NaN,NaN,54.160961702269695
-157773600,35.13,35.16,35.1,35.1,33.78933219913182,53.266274479562874,56.672465597834204,NaN,NaN,NaN,NaN,NaN,NaN,57.22956042154813
-142138800,35.12,35.15,35.11,35.13,33.841907407009,55.1856939702033,56.24446224513948,NaN,NaN,NaN,NaN,NaN,NaN,59.68443939697088
-126064800,35.15,35.17,35.12,35.15,33.89320515575375,56.524881913448525,55.8425658027911,NaN,NaN,NaN,NaN,NaN,NaN,62.43735921171193
-110602800,35.18,35.19,35.16,35.18,33.943667698665365,58.61198195355081,55.863969798337244,NaN,NaN,NaN,NaN,NaN,NaN,65.37885285855319
-94615200,35.18,35.19,35.16,35.19,33.99254347518829,59.343895073828584,55.823926952645216,NaN,NaN,NaN,NaN,NaN,NaN,67.7320477760262
-78894000,35.19,35.2,35.19,35.19,34.03950255459267,59.343895073828584,54.85062453113551,NaN,NaN,NaN,NaN,NaN,NaN,70.0629349672355
-63165600,35.18,41.111,35.18,41.111,34.316816179902766,97.14736225204689,58.02068989867638,NaN,NaN,NaN,NaN,NaN,NaN,75.99423351623004
-47444400,39.53,41.113,39.17,41.113,34.5833331924556,97.14836984824453,61.02095730869558,NaN,NaN,NaN,NaN,NaN,NaN,80.73929575569517
-31543200,42.291,43.461,41.442,41.442,34.852300518241655,97.32333529580836,64.1683990146049,NaN,NaN,NaN,NaN,97.32333529580836,NaN,84.55663983528056
-15908400,41.755,41.755,35.189,35.189,34.86550441948708,42.09650115604579,63.428712298366996,NaN,NaN,42.09650115604579,NaN,NaN,NaN,69.99108440355506
