time,open,high,low,close,EMA,EMA,EMA,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1716576300,2336.36,2336.475,2335.245,2335.37,2336.4048357553165,2335.050364218729,2335.5964621832068,38.68392792643135,52.30768353409619,53.006496926054105,NaN,NaN,NaN,NaN,NaN,NaN
1716576600,2335.37,2335.94,2334.86,2334.94,2336.372641562892,2335.0403311079353,2335.570718568179,33.73952608570116,49.006701799443974,53.71813815805102,NaN,NaN,NaN,NaN,NaN,NaN
1716576900,2334.94,2335.205,2334.805,2334.995,2336.342363726345,2335.036210098123,2335.548141369427,30.234380693698515,49.45997993226372,54.111352735014634,NaN,NaN,NaN,NaN,NaN,NaN
1716577200,2334.995,2334.995,2333.24,2333.4,2336.2776963917,2334.8874637255662,2335.46390053141,35.509171194531305,38.44769455712441,54.1351555455901,NaN,NaN,NaN,NaN,NaN,NaN
1716577500,2333.4,2333.72,2333.165,2333.52,2336.2170876797945,2334.763148841424,2335.3876691380215,39.97260420212339,39.572395219159574,54.04238327290998,NaN,NaN,NaN,NaN,NaN,NaN
1716577800,2333.52,2333.755,2332.985,2333.125,2336.14912970881,2334.614226219476,2335.2989370149617,44.19847118360901,37.09346998151384,52.674284079499174,NaN,NaN,NaN,NaN,NaN,NaN
1716578100,2333.125,2333.435,2332.17,2332.545,2336.069918066858,2334.4261147449783,2335.190939484963,49.954719293333824,33.65396661233838,50.747679908979144,NaN,NaN,NaN,NaN,NaN,NaN
1716578400,2332.545,2332.675,2332.11,2332.41,2335.989480307147,2334.242831586344,2335.0818830345725,54.70742278371989,32.865821769223146,48.95299125841651,NaN,NaN,32.865821769223146,NaN,NaN,NaN
1716578700,2332.41,2333.1,2332.02,2333.055,2335.9249862344623,2334.134846896676,2335.0023974253736,51.73979454030524,40.28926866147931,47.490583463060496,NaN,NaN,NaN,NaN,NaN,NaN
1716579000,2333.055,2333.21,2332.42,2332.445,2335.848503020518,2333.9812244515238,2334.902107330261,47.70680606863322,36.09517009802373,46.28355758356869,NaN,NaN,NaN,NaN,NaN,NaN
1716579300,2332.445,2333.125,2331.975,2333.025,2335.786448009078,2333.8942949559305,2334.828495278094,47.63749371130322,42.426927995868034,45.33825959852571,NaN,NaN,NaN,NaN,NaN,NaN
1716579600,2333.025,2333.62,2333.005,2333.325,2335.7323502506365,2333.8425408690277,2334.7695346789533,40.42427447949592,45.52869484834639,44.36413351537549,NaN,NaN,NaN,NaN,NaN,NaN
1716579900,2333.325,2334.25,2332.84,2332.945,2335.6710898055676,2333.7609462445707,2334.6979842993865,36.244044023016095,42.31981579475381,42.847156553243124,NaN,NaN,NaN,NaN,NaN,NaN
1716580200,2332.945,2333.805,2332.945,2333.65,2335.6266702494013,2333.750860222337,2334.656886875881,32.899859657832245,49.63698179261913,42.050326614018125,NaN,NaN,NaN,NaN,NaN,NaN
1716580500,2333.65,2333.83,2333.33,2333.81,2335.5867434307333,2333.756236565761,2334.6236756258463,30.49792000320422,51.19811939059667,41.97107203233959,NaN,NaN,NaN,NaN,NaN,NaN
1716580800,2333.81,2335.16,2333.81,2334.715,2335.5675842344535,2333.8433968779646,2334.627256973852,36.968848687022295,59.155177572441254,42.69596315898225,NaN,NaN,NaN,NaN,59.155177572441254,NaN
1716581100,2334.715,2334.885,2334.115,2334.455,2335.5431318336964,2333.898997161786,2334.620501798407,42.14559163407675,56.2286290469489,43.17943809574548,NaN,NaN,NaN,NaN,NaN,NaN
1716581400,2334.455,2334.465,2334.155,2334.155,2335.512623441747,2333.9222701470785,2334.6022468259207,46.28698599172032,52.874972970072164,44.20995798238461,NaN,NaN,NaN,NaN,NaN,NaN
1716581700,2334.155,2334.405,2334.1,2334.105,2335.4816866628075,2333.9388819518895,2334.5827469503943,48.26203724703849,52.2973467165465,45.11888308934082,NaN,NaN,NaN,NaN,NaN,NaN
1716582000,2334.105,2334.575,2334.105,2334.575,2335.4617594834053,2333.996710865354,2334.582443148418,51.043086840721585,57.1827546496274,46.553831994206064,NaN,NaN,NaN,NaN,NaN,NaN
1716582300,2334.575,2334.745,2334.35,2334.64,2335.443698835418,2334.0551916957766,2334.5847002798523,54.37412590282648,57.84614414901815,48.28184467539749,NaN,NaN,NaN,NaN,NaN,NaN
1716582600,2334.64,2334.655,2333.815,2333.885,2335.4094417181564,2334.0397197234333,2334.5572610531913,44.79283590922989,48.20676721113365,49.377626492676804,NaN,NaN,NaN,NaN,NaN,NaN
